timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1475665961380,5699,getCurrencies,200,OK,getCurrencies_Service 3-9,text,true,,698,10,60,5699,0
1475665961114,5977,getLanguages,200,OK,getLanguages_Service 4-6,text,true,,10441,10,60,5976,0
1475665961783,5309,getLanguages,200,OK,getLanguages_Service 4-9,text,true,,10441,10,60,5309,0
1475665961349,5746,getAirports,200,OK,getAirport_Service 1-8,text,true,,61244,10,60,5745,0
1475665960985,6110,getCurrencies,200,OK,getCurrencies_Service 3-5,text,true,,698,10,60,6110,0
1475665960987,6109,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-4,text,true,,5216,10,60,6109,0
1475665960798,6299,getLanguages,200,OK,getLanguages_Service 4-3,text,true,,10441,10,60,6299,0
1475665961689,5410,getAirports,200,OK,getAirport_Service 1-9,text,true,,61244,10,60,5409,0
1475665961276,5825,getCountries,200,OK,getCountries_Service 6-5,text,true,,82178,10,60,5824,0
1475665961376,5727,getCountries,200,OK,getCountries_Service 6-7,text,true,,82178,10,60,5727,0
1475665961686,5510,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-9,text,true,,5216,10,60,5510,0
1475665960984,6221,getLanguages,200,OK,getLanguages_Service 4-5,text,true,,10441,10,60,6221,0
1475665960888,6318,getAirports,200,OK,getAirport_Service 1-3,text,true,,61244,10,60,6317,0
1475665961359,5851,getPassengerTypes,200,OK,getPassengerType_Service 2-7,text,true,,1128,10,60,5851,0
1475665961455,5755,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-7,text,true,,5216,10,60,5755,0
1475665961557,5655,getLanguages,200,OK,getLanguages_Service 4-8,text,true,,10441,10,60,5655,0
1475665961257,5956,getCurrencies,200,OK,getCurrencies_Service 3-7,text,true,,698,10,60,5956,0
1475665961673,5546,getPassengerTypes,200,OK,getPassengerType_Service 2-10,text,true,,1128,10,60,5546,0
1475665960776,6444,getAirports,200,OK,getAirport_Service 1-2,text,true,,61244,10,60,6444,0
1475665961253,5968,getAirports,200,OK,getAirport_Service 1-6,text,true,,61244,10,60,5968,0
1475665961457,5773,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-8,text,true,,5216,10,60,5773,0
1475665961580,5651,getAirports,200,OK,getAirport_Service 1-7,text,true,,61244,10,60,5651,0
1475665960853,6378,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-1,text,true,,5216,10,60,6378,0
1475665960689,6543,getLanguages,200,OK,getLanguages_Service 4-1,text,true,,10441,10,60,6543,0
1475665961003,6231,getAirports,200,OK,getAirport_Service 1-4,text,true,,61244,10,60,6231,0
1475665961018,6220,getCountries,200,OK,getCountries_Service 6-4,text,true,,82178,10,60,6220,0
1475665960767,6472,getPassengerTypes,200,OK,getPassengerType_Service 2-3,text,true,,1128,10,60,6472,0
1475665960766,6473,getPassengerTypes,200,OK,getPassengerType_Service 2-2,text,true,,1128,10,60,6473,0
1475665960766,6474,getLanguages,200,OK,getLanguages_Service 4-2,text,true,,10441,10,60,6474,0
1475665961066,6176,getAirports,200,OK,getAirport_Service 1-5,text,true,,61244,10,60,6175,0
1475665960588,6661,getAirports,200,OK,getAirport_Service 1-1,text,true,,61244,10,60,6660,0
1475665961589,5661,getAirports,200,OK,getAirport_Service 1-10,text,true,,61244,10,60,5661,0
1475665961585,5669,getCountries,200,OK,getCountries_Service 6-10,text,true,,82178,10,60,5669,0
1475665961693,5562,getCountries,200,OK,getCountries_Service 6-9,text,true,,82178,10,60,5562,0
1475665960630,6710,getCurrencies,200,OK,getCurrencies_Service 3-2,text,true,,698,10,60,6710,0
1475665960553,6788,getCurrencies,200,OK,getCurrencies_Service 3-1,text,true,,698,10,60,6788,0
1475665961455,5893,getLanguages,200,OK,getLanguages_Service 4-10,text,true,,10441,10,60,5893,0
1475665961464,5886,getPassengerTypes,200,OK,getPassengerType_Service 2-8,text,true,,1128,10,60,5886,0
1475665961801,5559,getCountries,200,OK,getCountries_Service 6-8,text,true,,82178,10,60,5559,0
1475665960838,6524,getCountries,200,OK,getCountries_Service 6-3,text,true,,82178,10,60,6524,0
1475665960888,10026,getCurrencies,200,OK,getCurrencies_Service 3-3,text,true,,698,10,60,10026,0
1475665960885,10031,getCurrencies,200,OK,getCurrencies_Service 3-4,text,true,,698,10,60,10031,0
1475665960856,10064,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-3,text,true,,5216,10,60,10064,0
1475665960984,10046,getLanguages,200,OK,getLanguages_Service 4-4,text,true,,10441,10,60,10046,0
1475665960921,10121,getCountries,200,OK,getCountries_Service 6-2,text,true,,82178,10,60,10121,0
1475665970553,10014,getCurrencies,200,OK,getCurrencies_Service 3-1,text,true,,698,10,60,10014,0
1475665970588,10058,getAirports,200,OK,getAirport_Service 1-1,text,true,,61244,10,60,10058,0
1475665970655,10015,getPassengerTypes,200,OK,getPassengerType_Service 2-1,text,true,,1128,10,60,10015,0
1475665970624,10082,getCountries,200,OK,getCountries_Service 6-1,text,true,,82178,10,60,10082,0
1475665970691,10024,getLanguages,200,OK,getLanguages_Service 4-1,text,true,,10441,10,60,10024,0
1475665970692,10061,getMarketGroupReferenceData,200,OK,getMarketGroupReferenceData_Service 5-2,text,true,,5216,10,60,10061,0
1475665970630,10155,getCurrencies,200,OK,getCurrencies_Service 3-2,text,true,,698,10,60,10155,0
1475665970767,10024,getLanguages,200,OK,getLanguages_Service 4-2,text,true,,10441,10,60,10024,0
1475665970767,10025,getPassengerTypes,200,OK,getPassengerType_Service 2-3,text,true,,1128,10,60,10025,0
